Thẻ,Loại,Cấp,Thành phần,Giống Kanji,Onyomi,Kunyomi,Nanori,Đọc Chính,Đọc,Nghĩa Chính,Nghĩa Phụ
鳴呼,vocab,29,"鳴,呼",N/A,N/A,N/A,N/A,ああ,ああ,Aa,
絶叫,vocab,29,"絶,叫",N/A,N/A,N/A,N/A,ぜっきょう,ぜっきょう,Tiếng Hét,
正反対,vocab,8,"正,反,対",N/A,N/A,N/A,N/A,せいはんたい,せいはんたい,Seihantai,
正気,vocab,8,"正,気",N/A,N/A,N/A,N/A,しょうき,しょうき,Shouki,
四六時中,vocab,9,"四,六,時,中",N/A,N/A,N/A,N/A,しろくじちゅう,しろくじちゅう,Shirokujichuu,
値する,vocab,32,値,N/A,N/A,N/A,N/A,あたいする,あたいする,Đáng,Xứng Đáng
表札,vocab,33,"表,札",N/A,N/A,N/A,N/A,ひょうさつ,ひょうさつ,Hyousatsu,Bảng Tên
言い表す,vocab,19,"言,表",N/A,N/A,N/A,N/A,いいあらわす,いいあらわす,Iiarawasu,
格ゲー,vocab,40,格,N/A,N/A,N/A,N/A,かくげー,かくげー,Kakuge,
格闘,vocab,40,"格,闘",N/A,N/A,N/A,N/A,かくとう,かくとう,Chiến Đấu,Đánh Nhau
肉離れ,vocab,47,"肉,離",N/A,N/A,N/A,N/A,にくばなれ,にくばなれ,Rách Cơ,
太もも,vocab,3,太,N/A,N/A,N/A,N/A,ふともも,ふともも,Đùi,
委ねる,vocab,48,委,N/A,N/A,N/A,N/A,ゆだねる,ゆだねる,Ủy Thác,
上海,vocab,7,"上,海",N/A,N/A,N/A,N/A,しゃんはい,しゃんはい,Thượng Hải,Shanhai
胃もたれ,vocab,50,胃,N/A,N/A,N/A,N/A,いもたれ,いもたれ,Chướng Bụng,
日和,vocab,5,"日,和",N/A,N/A,N/A,N/A,ひより,ひより,Hiyori,
振り掛け,vocab,56,"振,掛",N/A,N/A,N/A,N/A,ふりかけ,ふりかけ,Furikake,
夜更かし,vocab,39,"夜,更",N/A,N/A,N/A,N/A,よふかし,よふかし,Thức Đêm,
九九,vocab,1,九,N/A,N/A,N/A,N/A,くく,くく,Bảng Cửu Chương,Kuku
痛車,vocab,35,"痛,車",N/A,N/A,N/A,N/A,いたしゃ,いたしゃ,Itasha,
母国語,vocab,12,"母,国,語",N/A,N/A,N/A,N/A,ぼこくご,ぼこくご,Tiếng Mẹ Đẻ,Bokokugo
～か国語,vocab,12,"国,語",N/A,N/A,N/A,N/A,かこくご,かこくご,Kakokugo,
四国,vocab,13,"四,国",N/A,N/A,N/A,N/A,しこく,しこく,Shikoku,
嫌がる,vocab,36,嫌,N/A,N/A,N/A,N/A,いやがる,いやがる,Iyagaru,
出生率,vocab,44,"出,生,率",N/A,N/A,N/A,N/A,しゅっせいりつ,しゅっせいりつ,Tỷ Lệ Sinh,
過半数,vocab,31,"過,半,数",N/A,N/A,N/A,N/A,かはんすう,かはんすう,Đa Số,
大げさ,vocab,2,大,N/A,N/A,N/A,N/A,おおげさ,おおげさ,Phóng Đại,Bốc Phét
不平等,vocab,37,"不,平,等",N/A,N/A,N/A,N/A,ふびょうどう,ふびょうどう,Bất Bình Đẳng,
解答,vocab,23,"解,答",N/A,N/A,N/A,N/A,かいとう,かいとう,Đáp Án,Trả Lời
有り得ない,vocab,33,"有,得",N/A,N/A,N/A,N/A,ありえない,ありえない,Arienai,
速報,vocab,22,"速,報",N/A,N/A,N/A,N/A,そくほう,そくほう,Tin Nóng,
大好物,vocab,11,"大,好,物",N/A,N/A,N/A,N/A,だいこうぶつ,だいこうぶつ,Daikoubutsu,
住宅街,vocab,19,"住,宅,街",N/A,N/A,N/A,N/A,じゅうたくがい,じゅうたくがい,Khu Dân Cư,
青臭い,vocab,29,"青,臭",N/A,N/A,N/A,N/A,あおくさい,あおくさい,Non Nớt,
好み,vocab,11,好,N/A,N/A,N/A,N/A,このみ,このみ,Konomi,
棚上げ,vocab,64,"棚,上",N/A,N/A,N/A,N/A,たなあげ,たなあげ,Tạm Gác,Tanaage
生徒会,vocab,54,"生,徒,会",N/A,N/A,N/A,N/A,せいとかい,せいとかい,Hội Học Sinh,Seitokai
底力,vocab,44,"底,力",N/A,N/A,N/A,N/A,そこぢから,そこぢから,Tiềm Lực,
導入,vocab,40,"導,入",N/A,N/A,N/A,N/A,どうにゅう,どうにゅう,Dounyuu,
摘み,vocab,68,摘,N/A,N/A,N/A,N/A,つまみ,つまみ,Đồ Nhắm,Núm
同い年,vocab,9,"同,年",N/A,N/A,N/A,N/A,おないどし,おないどし,Bằng Tuổi,
等分,vocab,37,"等,分",N/A,N/A,N/A,N/A,とうぶん,とうぶん,Chia Đều,
二日酔い,vocab,61,"二,日,酔",N/A,N/A,N/A,N/A,ふつかよい,ふつかよい,Futsukayoi,
煮込む,vocab,64,"煮,込",N/A,N/A,N/A,N/A,にこむ,にこむ,Ninh,
五円,vocab,2,"五,円",N/A,N/A,N/A,N/A,五えん,五えん,Năm Yên,Goen
六千,vocab,1,"六,千",N/A,N/A,N/A,N/A,ろくせん,ろくせん,Sáu Nghìn,
千円,vocab,1,"千,円",N/A,N/A,N/A,N/A,せんえん,せんえん,Nghìn Yên,Senen
百万,vocab,3,"百,万",N/A,N/A,N/A,N/A,ひゃくまん,ひゃくまん,Triệu,Hyakuman
